雲林縣斗六市科技工業區科工7路8號,"[雲林縣]	輸入的 [路街] 找不到門牌資料"
臺中市北屯區?子路666號,"[臺中市]	輸入的 [路街] 找不到門牌資料"
新竹市新竹科學園區工業東六路5號,"[新竹市]	輸入的 [路街] 找不到門牌資料"
新竹市新竹科學園區工業東六路5號,"[新竹市]	輸入的 [路街] 找不到門牌資料"
桃園市桃園區民生北路1段50號,"[桃園市]	 { 模糊比對 } (桃園區)	找到符合的[鄉鎮市區]，(民生北路)	找到符合的[路街名]，(1)	找不到符合的[路段]，(50號)	模糊比對找不到符合的門牌地址。"
桃園市桃園區民生北路1段50號,"[桃園市]	 { 模糊比對 } (桃園區)	找到符合的[鄉鎮市區]，(民生北路)	找到符合的[路街名]，(1)	找不到符合的[路段]，(50號)	模糊比對找不到符合的門牌地址。"
新北市蘆洲區中山1路100號,"[新北市]	輸入的 [路街] 找不到門牌資料"
新北市蘆洲區中山1路100號,"[新北市]	輸入的 [路街] 找不到門牌資料"
新北市蘆洲區中山1路100號,"[新北市]	輸入的 [路街] 找不到門牌資料"
高雄市苓雅區忠孝2路18號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市苓雅區忠孝2路18號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
新北市樹林區保安2街82號,"[新北市]	輸入的 [路街] 找不到門牌資料"
新北市樹林區保安2街82號,"[新北市]	輸入的 [路街] 找不到門牌資料"
新北市樹林區保安2街82號,"[新北市]	輸入的 [路街] 找不到門牌資料"
高雄市三民區博愛1路300號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市三民區博愛1路300號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市三民區博愛1路300號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市三民區博愛1路300號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
新竹縣湖口鄉新竹工業區光復北路45號,"[新竹縣]	輸入的 [路街] 找不到門牌資料"
新竹縣湖口鄉工業1路3號,"[新竹縣]	輸入的 [路街] 找不到門牌資料"
金門縣金城鎮鎮民生路6號,"[金門縣]	輸入的 [路街] 找不到門牌資料"
宜蘭縣宜蘭市榮光路386號,"[宜蘭縣]	 { 模糊比對 } (宜蘭市)	找到符合的[鄉鎮市區]，(榮光路)	找到符合的[路街名]，(386號)	模糊比對找不到符合的門牌地址。"
新竹市工業東4路23號,"[新竹市]	輸入的 [路街] 找不到門牌資料"
新竹縣芎林鄉大華路1號,"[新竹縣]	輸入的 [路街] 找不到門牌資料"
新竹市東峰路343號,"[新竹市]	輸入的 [路街] 找不到門牌資料"
新竹市東區力行3路2號,"[新竹市]	輸入的 [路街] 找不到門牌資料"
新竹市東區科學園區力行路6號,"[新竹市]	輸入的 [路街] 找不到門牌資料"
新竹市東區科學園區力行一路12號,"[新竹市]	輸入的 [路街] 找不到門牌資料"
高雄市左營區鎮海營區成功路2號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市前鎮區成功2路15號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市前金區五福3路82號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市前金區五福3路82號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市前金區五福3路122號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市新興區七賢1路480號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市新興區七賢1路480號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市新興區七賢1路480號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市新興區中正路158號,"[高雄市]	 { 模糊比對 } (新興區)	找到符合的[鄉鎮市區]，(中正路)	找到符合的[路街名]，(158號)	模糊比對找不到符合的門牌地址。"
高雄市新興區中正路158號,"[高雄市]	 { 模糊比對 } (新興區)	找到符合的[鄉鎮市區]，(中正路)	找到符合的[路街名]，(158號)	模糊比對找不到符合的門牌地址。"
高雄市大社區工業區經建路6號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市前鎮區佛得街42號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市鳳山區中崙1路436號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市旗津區中洲2路156號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市鳳山區五甲2路256號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市鳳山區五甲2路256號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市鳳山區五甲2路256號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市三民區建國1路458號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市三民區建國1路458號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
高雄市三民區建國1路458號,"[高雄市]	輸入的 [路街] 找不到門牌資料"
